[2022-09-02 08:49:20,680][conftest.py 37][INFO]: 软件成功启动
[2022-09-02 08:49:26,494][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-02 08:49:32,678][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-02 08:49:32,843][conftest.py 48][INFO]: 软件已退出
[2022-09-02 08:49:41,045][send_mail.py 28][INFO]: 开始发送测试报告
[2022-09-02 08:49:41,049][send_mail.py 51][INFO]: 报告附件添加成功
[2022-09-02 08:49:41,867][send_mail.py 71][INFO]: 测试报告发送成功
[2022-09-02 09:40:17,557][conftest.py 38][INFO]: 软件成功启动
[2022-09-02 09:40:23,217][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-02 09:40:29,381][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-02 09:40:29,542][conftest.py 49][INFO]: 软件已退出
[2022-09-02 09:40:37,691][send_mail.py 28][INFO]: 开始发送测试报告
[2022-09-02 09:40:37,695][send_mail.py 51][INFO]: 报告附件添加成功
[2022-09-02 09:40:39,132][send_mail.py 71][INFO]: 测试报告发送成功
[2022-09-02 09:52:53,798][conftest.py 38][INFO]: 软件成功启动
[2022-09-02 09:52:59,436][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-02 09:53:05,620][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-02 09:53:05,773][conftest.py 49][INFO]: 软件已退出
[2022-09-02 09:53:13,913][send_mail.py 28][INFO]: 开始发送测试报告
[2022-09-02 09:53:13,917][send_mail.py 51][INFO]: 报告附件添加成功
[2022-09-02 09:53:16,356][send_mail.py 71][INFO]: 测试报告发送成功
[2022-09-02 10:03:43,830][conftest.py 38][INFO]: 软件成功启动
[2022-09-02 10:03:49,370][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-02 10:03:55,531][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-02 10:03:55,687][conftest.py 49][INFO]: 软件已退出
[2022-09-02 10:08:10,337][conftest.py 38][INFO]: 软件成功启动
[2022-09-02 10:08:15,978][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-02 10:08:22,164][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-02 10:08:22,312][conftest.py 49][INFO]: 软件已退出
[2022-09-02 10:10:24,411][conftest.py 38][INFO]: 软件成功启动
[2022-09-02 10:10:30,038][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-02 10:10:36,187][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-02 10:10:36,340][conftest.py 49][INFO]: 软件已退出
[2022-09-02 10:10:44,497][send_mail.py 28][INFO]: 开始发送测试报告
[2022-09-02 10:10:44,502][send_mail.py 51][INFO]: 报告附件添加成功
[2022-09-02 10:10:44,932][send_mail.py 71][INFO]: 测试报告发送成功
[2022-09-02 10:12:22,618][conftest.py 38][INFO]: 软件成功启动
[2022-09-02 10:12:28,237][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-02 10:12:34,416][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
