[2022-09-01 08:51:46,512][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 08:51:58,491][test_login.py 47][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 08:52:03,553][test_login.py 52][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 08:52:03,695][conftest.py 48][INFO]: 软件已退出
[2022-09-01 08:59:26,272][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 08:59:31,879][test_login.py 47][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 08:59:38,039][test_login.py 52][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 08:59:38,167][conftest.py 48][INFO]: 软件已退出
[2022-09-01 09:00:18,103][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 09:00:23,806][test_login.py 47][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 09:00:29,971][test_login.py 52][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 09:00:30,096][conftest.py 48][INFO]: 软件已退出
[2022-09-01 09:04:20,030][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 09:04:25,647][test_login.py 47][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 09:04:31,797][test_login.py 52][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 09:04:31,924][conftest.py 48][INFO]: 软件已退出
[2022-09-01 09:15:08,585][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 09:15:14,273][test_login.py 47][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 09:15:20,430][test_login.py 52][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 09:15:20,577][conftest.py 48][INFO]: 软件已退出
[2022-09-01 09:22:00,512][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 09:22:14,330][test_login.py 47][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 09:22:19,404][test_login.py 52][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 09:22:19,537][conftest.py 48][INFO]: 软件已退出
[2022-09-01 09:24:59,978][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 09:25:10,193][test_login.py 47][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 09:25:16,406][test_login.py 52][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 09:25:16,538][conftest.py 48][INFO]: 软件已退出
[2022-09-01 09:31:06,484][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 09:31:12,178][test_login.py 47][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 09:31:18,287][test_login.py 52][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 09:31:18,424][conftest.py 48][INFO]: 软件已退出
[2022-09-01 09:34:37,045][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 09:34:42,573][test_login.py 47][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 09:34:48,701][test_login.py 52][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 09:34:48,835][conftest.py 48][INFO]: 软件已退出
[2022-09-01 10:08:38,361][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 10:08:44,174][test_login.py 47][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 10:08:50,286][test_login.py 52][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 10:08:50,432][conftest.py 48][INFO]: 软件已退出
[2022-09-01 10:13:07,507][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 10:13:13,168][test_login.py 47][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 10:13:19,372][test_login.py 52][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 10:13:19,510][conftest.py 48][INFO]: 软件已退出
[2022-09-01 10:33:57,567][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 10:34:03,278][test_login.py 48][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 10:34:09,392][test_login.py 53][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 10:34:09,527][conftest.py 48][INFO]: 软件已退出
[2022-09-01 10:43:39,048][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 10:43:44,716][test_login.py 48][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 10:43:50,821][test_login.py 53][INFO]: 软件登录成功，进入病人管理界面
[2022-09-01 10:43:50,958][conftest.py 48][INFO]: 软件已退出
[2022-09-01 10:53:00,871][conftest.py 37][INFO]: 软件成功启动
[2022-09-01 10:53:06,616][test_login.py 48][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-01 10:53:12,727][test_login.py 53][INFO]: 软件登录成功，进入病人管理界面
