[2022-09-06 09:01:44,334][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 09:01:50,405][test_login.py 122][INFO]: 软件已退出
[2022-09-06 09:06:57,539][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 09:07:03,604][test_login.py 122][INFO]: 软件已退出
[2022-09-06 09:11:48,181][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 09:11:54,156][test_login.py 122][INFO]: 软件已退出
[2022-09-06 09:12:26,781][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 09:12:33,066][test_login.py 122][INFO]: 软件已退出
[2022-09-06 09:12:57,400][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 09:13:03,417][test_login.py 122][INFO]: 软件已退出
[2022-09-06 09:13:23,816][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 09:13:29,785][test_login.py 122][INFO]: 软件已退出
[2022-09-06 09:19:56,243][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 09:20:02,267][test_login.py 122][INFO]: 软件已退出
[2022-09-06 09:23:13,371][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 09:23:19,542][test_login.py 122][INFO]: 软件已退出
[2022-09-06 09:27:50,912][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 09:27:56,914][test_login.py 122][INFO]: 软件已退出
[2022-09-06 09:29:27,738][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 09:29:33,777][test_login.py 122][INFO]: 软件已退出
[2022-09-06 09:30:12,497][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 09:30:18,480][test_login.py 122][INFO]: 软件已退出
[2022-09-06 16:20:37,671][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 16:20:43,681][test_login.py 128][INFO]: 软件已退出
[2022-09-06 16:29:31,715][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 16:29:37,738][test_login.py 152][INFO]: 软件已退出
[2022-09-06 16:33:26,778][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 16:33:32,523][test_login.py 54][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-06 16:33:38,733][test_login.py 59][INFO]: 软件登录成功，进入病人管理界面
[2022-09-06 16:33:40,943][test_login.py 64][INFO]: 软件已退出
[2022-09-06 16:33:53,807][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 16:33:59,601][test_login.py 88][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-06 16:34:05,800][test_login.py 93][INFO]: 软件登录成功，进入病人管理界面
[2022-09-06 16:34:08,017][test_login.py 98][INFO]: 软件已退出
[2022-09-06 16:34:20,914][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 16:34:27,794][test_login.py 124][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-06 16:34:39,146][test_login.py 134][INFO]: 软件已退出
[2022-09-06 16:34:52,293][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 16:34:58,288][test_login.py 152][INFO]: 软件已退出
[2022-09-06 16:38:24,869][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 16:38:31,672][test_login.py 124][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-06 16:39:56,764][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 16:40:02,787][test_login.py 122][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-06 16:40:08,951][test_login.py 127][INFO]: 软件登录成功，进入病人管理界面
[2022-09-06 16:40:11,167][test_login.py 132][INFO]: 软件已退出
[2022-09-06 16:47:19,243][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 16:47:24,979][test_login.py 54][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-06 16:47:31,180][test_login.py 59][INFO]: 软件登录成功，进入病人管理界面
[2022-09-06 16:47:33,384][test_login.py 64][INFO]: 软件已退出
[2022-09-06 16:47:46,251][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 16:47:51,955][test_login.py 88][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-06 16:47:58,136][test_login.py 93][INFO]: 软件登录成功，进入病人管理界面
[2022-09-06 16:48:00,351][test_login.py 98][INFO]: 软件已退出
[2022-09-06 16:48:13,241][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 16:48:19,128][test_login.py 122][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-06 16:48:25,330][test_login.py 127][INFO]: 软件登录成功，进入病人管理界面
[2022-09-06 16:48:27,532][test_login.py 132][INFO]: 软件已退出
[2022-09-06 16:48:40,393][conftest.py 37][INFO]: 软件成功启动
[2022-09-06 16:48:46,401][test_login.py 150][INFO]: 软件已退出
[2022-09-06 17:14:03,297][conftest.py 38][INFO]: 软件成功启动
[2022-09-06 17:14:09,181][test_login.py 122][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-06 17:14:20,339][test_login.py 132][INFO]: 软件已退出
[2022-09-06 17:24:10,156][conftest.py 38][INFO]: 软件成功启动
[2022-09-06 17:24:15,992][test_login.py 122][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-06 17:24:27,031][test_login.py 132][INFO]: 软件已退出
[2022-09-06 17:34:13,363][conftest.py 38][INFO]: 软件成功启动
[2022-09-06 17:34:19,211][test_login.py 122][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-06 17:34:30,257][test_login.py 132][INFO]: 软件已退出
