[2022-09-05 15:35:03,758][conftest.py 38][INFO]: 软件成功启动
[2022-09-05 15:38:52,707][conftest.py 38][INFO]: 软件成功启动
[2022-09-05 15:38:58,426][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-05 15:39:04,637][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-05 15:39:08,194][test_login.py 56][INFO]: 软件已退出
[2022-09-05 15:39:21,572][conftest.py 38][INFO]: 软件成功启动
[2022-09-05 15:39:27,326][test_login.py 73][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-05 15:39:33,559][test_login.py 78][INFO]: 软件登录成功，进入病人管理界面
[2022-09-05 15:39:35,761][test_login.py 83][INFO]: 软件已退出
[2022-09-05 15:39:48,815][conftest.py 38][INFO]: 软件成功启动
[2022-09-05 15:40:02,236][conftest.py 38][INFO]: 软件成功启动
[2022-09-05 15:46:04,278][conftest.py 38][INFO]: 软件成功启动
[2022-09-05 15:46:10,034][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-05 15:46:16,234][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-09-05 15:46:18,437][test_login.py 56][INFO]: 软件已退出
[2022-09-05 15:46:31,467][conftest.py 38][INFO]: 软件成功启动
[2022-09-05 15:46:37,153][test_login.py 73][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-05 15:46:43,348][test_login.py 78][INFO]: 软件登录成功，进入病人管理界面
[2022-09-05 15:46:45,554][test_login.py 83][INFO]: 软件已退出
[2022-09-05 15:46:58,570][conftest.py 38][INFO]: 软件成功启动
[2022-09-05 15:47:11,728][conftest.py 38][INFO]: 软件成功启动
[2022-09-05 15:47:17,748][test_login.py 124][INFO]: 软件已退出
[2022-09-05 16:57:15,229][conftest.py 38][INFO]: 软件成功启动
[2022-09-05 16:57:21,400][test_login.py 48][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-05 17:48:15,097][conftest.py 37][INFO]: 软件成功启动
[2022-09-05 17:48:21,150][test_login.py 123][INFO]: 软件已退出
[2022-09-05 18:00:06,333][conftest.py 37][INFO]: 软件成功启动
[2022-09-05 18:00:12,372][test_login.py 122][INFO]: 软件已退出
[2022-09-05 18:05:57,356][conftest.py 37][INFO]: 软件成功启动
[2022-09-05 18:06:03,034][test_login.py 122][INFO]: 软件已退出
