[2022-09-09 09:16:54,154][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:16:59,744][test_login.py 54][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-09 09:17:05,930][test_login.py 59][INFO]: 软件登录成功，进入病人管理界面
[2022-09-09 09:17:08,199][test_login.py 64][INFO]: 软件已退出
[2022-09-09 09:17:21,105][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:17:26,773][test_login.py 88][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-09 09:17:32,951][test_login.py 93][INFO]: 软件登录成功，进入病人管理界面
[2022-09-09 09:17:35,205][test_login.py 98][INFO]: 软件已退出
[2022-09-09 09:17:48,141][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:17:53,993][test_login.py 122][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-09 09:18:05,049][test_login.py 132][INFO]: 软件已退出
[2022-09-09 09:28:43,008][tool.py 61][INFO]: reports文件夹删除html文件成功！
[2022-09-09 09:28:56,809][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:29:02,431][test_login.py 54][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-09 09:29:08,620][test_login.py 59][INFO]: 软件登录成功，进入病人管理界面
[2022-09-09 09:29:10,884][test_login.py 64][INFO]: 软件已退出
[2022-09-09 09:29:23,826][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:29:29,570][test_login.py 88][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-09 09:29:35,700][test_login.py 93][INFO]: 软件登录成功，进入病人管理界面
[2022-09-09 09:29:37,966][test_login.py 98][INFO]: 软件已退出
[2022-09-09 09:29:50,870][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:29:56,652][test_login.py 122][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-09 09:30:02,806][test_login.py 127][INFO]: 软件登录成功，进入病人管理界面
[2022-09-09 09:30:05,064][test_login.py 132][INFO]: 软件已退出
[2022-09-09 09:30:18,009][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:30:24,139][test_login.py 150][INFO]: 软件已退出
[2022-09-09 09:34:27,437][tool.py 61][INFO]: reports文件夹删除html文件成功！
[2022-09-09 09:34:41,231][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:34:46,926][test_login.py 54][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-09 09:34:53,074][test_login.py 59][INFO]: 软件登录成功，进入病人管理界面
[2022-09-09 09:34:55,335][test_login.py 64][INFO]: 软件已退出
[2022-09-09 09:35:08,293][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:35:14,028][test_login.py 88][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-09 09:35:20,178][test_login.py 93][INFO]: 软件登录成功，进入病人管理界面
[2022-09-09 09:35:22,426][test_login.py 98][INFO]: 软件已退出
[2022-09-09 09:35:35,344][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:35:41,126][test_login.py 122][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-09 09:35:47,271][test_login.py 127][INFO]: 软件登录成功，进入病人管理界面
[2022-09-09 09:35:49,533][test_login.py 132][INFO]: 软件已退出
[2022-09-09 09:36:02,457][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:36:08,514][test_login.py 150][INFO]: 软件已退出
[2022-09-09 09:36:16,547][send_mail.py 28][INFO]: 开始发送测试报告
[2022-09-09 09:36:16,550][send_mail.py 51][INFO]: 报告附件添加成功
[2022-09-09 09:36:17,470][send_mail.py 71][INFO]: 测试报告发送成功
[2022-09-09 09:40:46,976][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:40:52,634][test_login.py 54][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-09 09:41:19,587][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:41:25,754][test_login.py 150][INFO]: 软件已退出
[2022-09-09 09:47:10,409][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:47:16,571][test_login.py 150][INFO]: 软件已退出
[2022-09-09 09:49:03,568][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:49:09,672][test_login.py 150][INFO]: 软件已退出
[2022-09-09 09:52:16,910][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:52:22,981][test_login.py 150][INFO]: 软件已退出
[2022-09-09 09:53:16,575][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:53:22,740][test_login.py 150][INFO]: 软件已退出
[2022-09-09 09:54:40,389][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:54:46,460][test_login.py 150][INFO]: 软件已退出
[2022-09-09 09:55:50,506][conftest.py 38][INFO]: 软件成功启动
[2022-09-09 09:55:56,668][test_login.py 150][INFO]: 软件已退出
